,Num. Exp,Objeto Contrato,Organismo,Tipo Tramitación,Tipo de Contrato,Procedimiento de Contratación,Importe Total Presup. Licit.,NIF/CIF Adjudicatario/Contratista,Razón Social Adjudicatario/Contratista,Importe Adjudicación Sin Impuestos,Importe total Adjudicación,Plazo Ejecución,Fecha Formalización Contrato
11,114/19,"Redacción del plan director de intervención y usos del ámbito EDUSI, desarrollo OI4, estudio previo del conjunto arquitectónico ""Las Cigarreras"" y redacción del proyecto básico y de ejecución para la rehabilitaciónd e la Fase I ""Antigua casa de Misericordia.",NaN,NaN,Servicios,Abierto,621940.0,NaN,RAMON ESTEVE ESTUDIO DE ARQUITECTURA UTE,NaN,559746.0,12 Meses,2020-12-07
12,101/19,Mejora eficiencia energética en centros escolares de la ciudad de Alicante. Fase 1. Tres lotes.,NaN,NaN,Obras,Abierto Simplificado,374541.02,NaN,"INSTALACIONES ELECTRICAS DE SANXNEXO, S.L.U.",NaN,299632.81,6 Meses,2020-09-17
13,27/20,"Tramitación expepcional de emergencia para contratar la adquisición de material preventivo para los trabajadores del Ayuntamiento de Alicante, a la hora de la incorporación presencial a los puestos de trabajo. Dividido en siete lotes.",NaN,NaN,Suministros,Otros,100921.92,NaN,"SUMEVET ORTOPEDIA MODERNA, S.L.",NaN,100921.92,48 Horas,2020-06-09
14,24/20,"Suministro y distribución de mascarillas sanitarias para la población de la ciudad de Alicante, dividido en dos lotes. (Tramitación excepcional de emergencia)",NaN,NaN,Suministros,Otros,450000.0,NaN,"SUMEVET ORTOPEDIA MODERNA, S.L.",NaN,450000.0,15 Días,2020-06-11
15,25/20,Concesion demanial para la adjudicación por lotes de la explotación para la venta de productos alimenticios artesanos de dos quioscos sitos en la fachada del mercado central de Alicante,NaN,NaN,Contrato administrativo especial,Abierto,32849.16,NaN,BORGONESSE S.L.U,NaN,177385.48,10 Años,2020-10-07
16,30/20,"Ejecución de las obras comprendidas en el proyecto básico de Recuperación de una zona afectada por el vertido de hidrocarburos en la playa del Postiguet en Alicante, mediante tramitación excepcional de emergencia.",NaN,NaN,Obras,Otros,319125.88,NaN,"FCC Ámbito, S.A.U.",NaN,319125.88,63 Días,2020-06-25
17,108/19,"Ejecución de las obras comprendidas en el proyecto de ""Renovación y pavimentación de calzadas. Ocho lotes"".",NaN,NaN,Obras,Abierto,449965.87,NaN,"PAVASAL EMPRESA CONSTRUCTORA, S.A.",NaN,405418.97,4 Meses,2020-08-03
18,111/19,Contratación de suministro con instalación de luminarias para la mejora de la eficiencia energética en varias zonas deportivas del Término Municipal de Alicante. Fase I,NaN,NaN,Suministros,Abierto,494528.41,NaN,"SOCIEDAD IBERICA DE CONSTRUCCINES ELECTRICAS, S.A.",NaN,404282.39,4 Meses,2020-08-21
19,44/19,"Ejecución de los talleres de formación prelaboral, dirigidos a personas en situación o en riesgo de exclusión social, en las especialidades de auxiliar de peluquería y estética, mantenimiento de vehículos ligeros y bicicletas, y carpintería y diferentes usos de la madera",NaN,NaN,Servicios,Abierto,48904.08,NaN,Filias Desarrollo Comunitario S.L.,NaN,47480.0,1 Años,2020-02-03
20,121/19,"Servicios de ejecución del ""Proyecto de intervención y mediación con la población de etnia gitana en barrios de la Zona Norte y Cementerio""",NaN,NaN,Servicios,Abierto,20939.77,NaN,Filias Desarrollo Comunitario S.L.,NaN,18825.4,1 Años,2020-07-03
21,37/20,"Servicio de mediación, asesoramiento y jurídico e intervención en comunidades vecinales de la Zona Norte",NaN,NaN,Servicios,Abierto,232233.49,NaN,Filias Desarrollo Comunitario S.L.,NaN,222438.0,2 Años,2020-12-17
22,24/20,"Suministro y distribución de mascarillas sanitarias para la población de la ciudad de Alicante, dividido en dos lotes. (Tramitación excepcional de emergencia)",NaN,NaN,Suministros,Otros,25670.15,NaN,"LIMENCOP, S.L.",NaN,25670.15,15 Días,2020-06-20
23,8/20,"Reparación, mantenimiento y conservación de aceras en el T.M. De Alicante, dividido en 5 lotes",NaN,NaN,Obras,Abierto Simplificado,94912.4,NaN,INVOLUCRA S.L.,NaN,70330.09,4 Meses,2020-07-30
24,79/19,Desarrollo varias aplicaciones: Gestión talleres y actividades en Centro de mayores y Centro 14 y otros,NaN,NaN,Servicios,Abierto Simplificado,18252.0,NaN,TERALCO SOLUTIONS SL,NaN,16940.0,3 Meses,2020-02-26
25,108/19,"Ejecución de las obras comprendidas en el proyecto de ""Renovación y pavimentación de calzadas. Ocho lotes"".",NaN,NaN,Obras,Abierto,377417.95,NaN,MEDITERRÁNEO DE  OBRAS  Y ASFALTOS S.L.,NaN,331825.86,4 Meses,2020-08-21
26,108/19,"Ejecución de las obras comprendidas en el proyecto de ""Renovación y pavimentación de calzadas. Ocho lotes"".",NaN,NaN,Obras,Abierto,496421.38,NaN,MEDITERRÁNEO DE  OBRAS  Y ASFALTOS S.L.,NaN,417986.8,4 Meses,2020-08-21
27,101/19,Mejora eficiencia energética en centros escolares de la ciudad de Alicante. Fase 1. Tres lotes.,NaN,NaN,Obras,Abierto Simplificado,432746.29,NaN,ELSAMEX,NaN,347322.18,6 Meses,2020-09-15
28,14/20,Servicios de organización y desarrollo de campañas de dinamización y animación comercial en el centro tradicional y barrios de Alicante que se realizarán durante los años 2020/22,NaN,NaN,Servicios,Abierto,69690.12,NaN,Ebone Servicios Educación Deporte S.L.,NaN,65508.72,2 Años,2020-11-23
29,27/20,"Tramitación expepcional de emergencia para contratar la adquisición de material preventivo para los trabajadores del Ayuntamiento de Alicante, a la hora de la incorporación presencial a los puestos de trabajo. Dividido en siete lotes.",NaN,NaN,Suministros,Otros,100.91,NaN,"EL CORTE INGLÉS, S.A.",NaN,100.91,48 Horas,2020-05-03
30,67/19,"Servicios de Gestión y Ejecución de talleres, cursos y otras actividades de los Centros Municipales de Mayores.",NaN,NaN,Servicios,Abierto,237516.6,NaN,BCM GESTIÓN DE SERVICIOS S.L.,NaN,227378.53,2 Años,2020-10-15
31,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,NaN,NaN,Servicios,Abierto,300000.0,NaN,"MAPFRE ESPAÑA, Compañía de Seguros y Reaseguros S.A.",NaN,299800.0,24 Meses,2020-05-29
32,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,NaN,NaN,Servicios,Abierto,51600.0,NaN,"GENERALI ESPAÑA, S.A. DE SEGUROS Y REASEGUROS",NaN,45134.22,24 Meses,2020-06-03
33,47/20,Compra de auriculares con micrófono para equipar los ordenadores del Ayuntamiento de Alic ante y sus Organismos Autónomos para la realización de videoconferencias.,NaN,NaN,Suministros,Abierto Simplificado (Abreviado),42337.9,NaN,INFOREIN. S.A.,NaN,36711.4,30 Días,2020-11-17
34,36/20,Servicio de mantenimiento de la aplicación de Epsilón RH ( gestión de RRHH y Nóminas) y servicio de soporte Telemático-SAU del Ayuntamiento de Alicante,NaN,NaN,Servicios,Negociado sin publicidad,101418.09,NaN,CARLOS CASTILLA INGENIEROS SA,NaN,101418.09,4 Años,2020-12-10
35,67/20,"Adquisición de cámaras termográficas por infrarrojos para la Temperatura Corporal Elevada, con el objetivo de reforzar los protocolos de seguridad en el acceso del público y los trabajadores a las dependencias municipales.",NaN,NaN,Suministros,Abierto Simplificado (Abreviado),32000.01,NaN,"ELECNOR SEGURIDAD, S.L.",NaN,22989.04,,2020-12-03
36,99/2020,Adquisición material preventivo para los trabajadores del Ayuntamiento de Alicante.,NaN,NaN,Suministros,Otros,51000.0,NaN,-,NaN,51000.0,9 Meses,2020-12-30
37,44/20,"Adquisición, instalación, configuración y puesta en marcha de un sistema de seguridad (Firewall) para la renovación de los actuales sistemas que vienen prestando la  seguridad perimetral de la red del Ayuntamiento.",NaN,NaN,Suministros,Abierto Simplificado,119769.19,NaN,"CENTRO REGIONAL DE SERVICIOS AVANZADOS, S.A.",NaN,110715.0,70 Días,2020-10-28
38,38/20,Suministro de una prensa hidráulica para latas y botes metálicos en la planta de triaje de cetralicante con instalación.,NaN,NaN,Suministros,Abierto Simplificado,120000.0,NaN,KADANT PAAL S.A.U.,NaN,109747.0,3 Meses,2020-09-18
39,22/20,Realización de tests rápidos de diagnóstico de SARS-COV-2 al personal municipal. (Tramitación excepcional de emergencia).,NaN,NaN,Servicios,Otros,75000.0,NaN,GESTIÓN HOSPIDOS S.L.,NaN,75000.0,3 Meses,2020-06-25
40,75/19,"Servicio de organización y desarrollo de espectáculos que se celebrarán con motivo del ""Sábado Ramblero"" en la Avda. Rambla Méndez Núñez y de la fiesta de Fin de Año en la Plaza del Ayuntamiento 2.020 y 2.021 ",NaN,NaN,Privado,Abierto,30000.0,NaN,"PRODUCCIONES ARTÍSTICAS HORIZONTE MUSICAL, S.L.",NaN,25410.0,2 Años,2020-01-31
41,79/19,Desarrollo varias aplicaciones: Gestión talleres y actividades en Centro de mayores y Centro 14 y otros,NaN,NaN,Servicios,Abierto Simplificado,24930.0,NaN,TERALCO SOLUTIONS SL,NaN,23595.0,3 Meses,2020-02-26
42,108/19,"Ejecución de las obras comprendidas en el proyecto de ""Renovación y pavimentación de calzadas. Ocho lotes"".",NaN,NaN,Obras,Abierto,322164.96,NaN,MEDITERRÁNEO DE  OBRAS  Y ASFALTOS S.L.,NaN,283634.03,4 Meses,2020-08-21
43,135/19,Obras de Reurbanización de varias calles en el Barrio de San Gabriel. Inversiones financieramente sostenibles 2019.,NaN,NaN,Obras,Abierto Simplificado,700000.0,NaN,"AITANA ACTIVIDADES DE CONSTRUCCIÓN Y SERVICIOS, S.L.",NaN,577500.0,6 Meses,2020-07-03
44,91/19,Servicio de mantenimiento preventivo y correctivo de los bienes muebles e inmuebles municipales del Ayuntamiento de Alicante. 2 lotes.,NaN,NaN,Servicios,Abierto,1629600.0,NaN,"ESCLAPES E HIJOS,S.L.",NaN,1459306.79,3 Años,2020-07-31
45,78/19,"Obras comprendidas en el proyecto de Acondicionamiento de la Plaza del Progreso, Fases I y II.",NaN,NaN,Obras,Abierto Simplificado,415415.56,NaN,CONSTRUCCIONES ZAPLANA CASELLES S.L.U,NaN,315666.53,4 Meses,2020-05-20
46,112/19,"Suministro, sustitución, instalación y puesta en servicio de los sistemas de climatización en edificios y dependencias municipales. Fase I",NaN,NaN,Suministros,Abierto,679169.56,NaN,"PROYECTOS E INSTALACIONES TÉRMICAS, S.L",NaN,573898.16,6 Meses,2020-07-17
47,107/19,"Servicio de mantenimiento de las aplicaciones de seguimiento de expedientes, registro de entrada y salida presencial y online, bpmadmin, workflow de trámites, portafirmas, tramitación online, carpeta ciudadana, notificaciones postales y electrónicas, módulo de movilidad y núcleo del Ayuntamiento de Alicante (Genesys)",NaN,NaN,Servicios,Negociado sin publicidad,67683.77,NaN,"AUDIFILM CONSULTING, S.L.U.",NaN,67683.77,2 Años,2020-07-03
48,50/19,concesión para explotación como bar-cafetería quiosco  sito paseo Gómiz,NaN,NaN,Contrato administrativo especial,Abierto,464268.17,NaN,HERMOLARA S.L.,NaN,2730028.24,10 Años,2020-06-10
49,80/19,Desarrollo de aplicaciones para la gestión de multas de tráfico con Oracle Middleware 12c y Oracle ADF ( Application Development Framework ),NaN,NaN,Servicios,Abierto Simplificado,95472.0,NaN,"Avanttic Consultoría Tecnológica, S.L.",NaN,71525.37,12 Meses,2020-04-24
50,98/19,Suministro de los derechos de uso y renovación de las licencias de software de la base de datos ORACLE del Ayuntamiento de Alicante.,NaN,NaN,Suministros,Negociado sin publicidad,205353.17,NaN,"ORACLE IBÉRICA, S.R.L.",NaN,205353.17,3 Años,2020-03-13
51,28/20,"Adquisición de cámaras web y cascos con micrófono para realizar videoconferencias y trabajo compartido remoto para el Ayuntamiento de Alicante, con el fin de evitar el contagio del agente etiológico de la COVID-19 y la continuidad coordinada del trabajo telemático (teletrabajo), mediante tramitación excepcional de emergencia",NaN,NaN,Suministros,Otros,99999.24,NaN,INFOREIN. S.A.,NaN,99999.24,20 Días,2020-07-01
52,45/20,"Servicios profesionales para el asesoramiento jurídico especializado para la atención integral y personalizada de las mujeres de Alicante que sufren violencia de género, sin excluir otro tipo de violencia contra las mujeres y discriminación por motivos de sexo o género",NaN,NaN,Servicios,Abierto,142039.96,NaN,-,NaN,136730.0,48 Meses,2020-12-07
53,99/2020,Adquisición material preventivo para los trabajadores del Ayuntamiento de Alicante.,NaN,NaN,Suministros,Otros,254.0,NaN,"SUMEVET ORTOPEDIA MODERNA, S.L.",NaN,254.0,9 Meses,2020-12-30
54,07/20,Servicio de Ayuda a Domicilio,NaN,NaN,Servicios,Abierto,7876188.69,NaN,"SACYR SOCIAL, S.L.",NaN,7870867.62,3 Años,2020-11-25
55,62/20/bis,Servicio de refuerzo de limpieza e higiene en los centros escolares para prevenir la expansión del SARS-COVID durante el curso académico 2020-2021,NaN,NaN,Servicios,Otros,2370361.25,NaN,"P. EMPRESARIAL ELCHE, CALLE MIGUEL SERVET N3, ELCHE, ALICANTE",NaN,2370361.25,10 Meses,2020-10-27
56,136/19,Obras. Proyecto de construcción de la plataforma ciclo-peatonal entre la Av. de Elche (Av. Jean Claude Combaldieu) y vial de acceso a Urbanova,NaN,NaN,Obras,Abierto,3033350.68,NaN,"PAVASAL EMPRESA CONSTRUCTORA, S.A.",NaN,2539790.0,8 Meses,2020-06-26
57,28/19,Suministro de material para los trabajos de mantenimiento de la Concejalía de Infraestructuras (4 lotes),NaN,NaN,Suministros,Abierto,387200.0,NaN,"SOCIEDAD IBERICA DE CONSTRUCCINES ELECTRICAS, S.A.",NaN,212960.0,2 Años,2020-01-07
58,75/19,"Servicio de organización y desarrollo de espectáculos que se celebrarán con motivo del ""Sábado Ramblero"" en la Avda. Rambla Méndez Núñez y de la fiesta de Fin de Año en la Plaza del Ayuntamiento 2.020 y 2.021 ",NaN,NaN,Privado,Abierto,6000.0,NaN,"PRODUCCIONES ARTÍSTICAS HORIZONTE MUSICAL, S.L.",NaN,5808.0,2 Años,2020-01-31
59,88/19,"Ejecución obras de Adecuación de dos locales en la calle Sargento Vaillo de Alicante, dividido en 2 lotes.",NaN,NaN,Obras,Abierto Simplificado,66826.19,NaN,"TECNICALIA 24, S .L",NaN,58407.69,2 Meses,2020-06-30
60,8/20,"Reparación, mantenimiento y conservación de aceras en el T.M. De Alicante, dividido en 5 lotes",NaN,NaN,Obras,Abierto Simplificado,96693.39,NaN,INVOLUCRA S.L.,NaN,71649.8,4 Meses,2020-07-30
61,8/20,"Reparación, mantenimiento y conservación de aceras en el T.M. De Alicante, dividido en 5 lotes",NaN,NaN,Obras,Abierto Simplificado,278592.53,NaN,MEDITERRÁNEO DE  OBRAS  Y ASFALTOS S.L.,NaN,211730.33,4 Meses,2020-07-31
62,30/19,"Servicio de mantenimiento y conservacion de las zonas verdes de la ciudad de Alicante, dividido en 3 lotes. (El lote 3 se reserva a centros especiales de empleo, D.Adicional 4ª LCSP)",NaN,NaN,Servicios,Abierto,672888.42,NaN,"CENTRO ESPECIAL DE EMPLEO ALICANTINO PODA, S.L.",NaN,672887.51,3 Años,2020-06-02
63,85/19,Suministro de vestuario al personal del Servicio de Prevención y Extinción de Incendios y Salvamento del Excmo. Ayuntamiento de Alicante.,NaN,NaN,Suministros,Abierto,243089.0,NaN,"EL CORTE INGLÉS, S.A.",NaN,220220.0,4 Años,2020-07-23
64,82/19,Suministro e instalación de protecciones solares para las dependencias municipales de la Casa de Festa del Excmo. Ayuntamiento de Alicante.,NaN,NaN,Suministros,Abierto Simplificado (Abreviado),42289.5,NaN,EXPINSER 2000 SL,NaN,36366.55,1 Meses,2020-05-06
65,102/19,"Obras de acondicionamiento del tramo final de la calle Pintor Gisbert junto a Glorieta Poeta Vicente Mójica, (Inversiones financieramente sostenibles ejercicio 2019)",NaN,NaN,Obras,Abierto Simplificado,70997.61,NaN,EXCAVACIONES GEOS S.L.,NaN,53361.61,2 Meses,2020-05-26
66,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,NaN,NaN,Servicios,Abierto,284400.0,NaN,BILBAO CIA. ANONIMA DE SEGUROS Y REASEGUROS,NaN,277840.0,24 Meses,2020-05-29
67,99/19,"Arrendamiento de la Paza de Toros de Alicante para su explotación con espectáculos taurinos, musicales y otros",NaN,NaN,Privado,Abierto,572834.6,NaN,EVENTOS MARE NOSTRUM S.L.,NaN,572835.1,4 Años,2020-03-02
68,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,NaN,NaN,Servicios,Abierto,310000.0,NaN,AXA SEGUROS GENERALES Y REASEGUROS,NaN,307835.0,24 Meses,2020-05-29
69,101/19,Mejora eficiencia energética en centros escolares de la ciudad de Alicante. Fase 1. Tres lotes.,NaN,NaN,Obras,Abierto Simplificado,324566.23,NaN,"INSTALACIONES ELECTRICAS DE SANXNEXO, S.L.U.",NaN,259652.98,6 Meses,2020-09-18
70,15/20,"Servicio de diseño, instalación, mantenimiento y desmontaje del alumbrado ornamental en las Fiestas de Navidad, Año Nuevo y Reyes, Carnavales, Hogueras y Fiestas Patronales en el término municipal de Alicante",NaN,NaN,Servicios,Abierto,1134000.0,NaN,"ILUMINACIONES XIMENEZ, S.A.",NaN,1097145.0,3 Años,2020-09-18
71,99/2020,Adquisición material preventivo para los trabajadores del Ayuntamiento de Alicante.,NaN,NaN,Suministros,Otros,24000.0,NaN,"SUMEVET ORTOPEDIA MODERNA, S.L.",NaN,24000.0,9 Meses,2020-12-30
72,10/20,Servicios para la adopción de medidas sanitarias en viviendas y espacios de titularidad privada,NaN,NaN,Servicios,Abierto Simplificado,55199.38,NaN,LOKIMICA SA,NaN,53543.4,2 Años,2020-09-02
73,110/19,Contratación suministro con instalación de luminarias en barrios y polígonos industriales en la Ciudad de Alicante. 3 Lotes.,NaN,NaN,Suministros,Abierto,449803.63,NaN,"SOCIEDAD IBERICA DE CONSTRUCCINES ELECTRICAS, S.A.",NaN,423213.57,4 Meses,2020-08-25
74,41/20,Renovación de la red de datos municipal.,NaN,NaN,Suministros,Abierto,410793.54,NaN,UNITRONICS COMUNICACIONES S.A,NaN,372543.33,120 Días,2020-12-28
75,70/19,Servicio de gestión y ejecución de las actividades de prevención de conductas adictivas en el ámbito escolar,NaN,NaN,Servicios,Abierto,17625.0,NaN,Auca Projectes Educatius S.L.,NaN,15300.0,,2020-01-22
76,122/19,"Ejecución de las obras incluidas en el Proyecto denominado ""Proyecto básico y de ejecución para acondicionamiento de la Torre Sarrió (2ª fase) para sede del centro de interpretación de Las Torres de la Huerta de Alicante, en la Glorieta Deportista Carolina Pascual.",NaN,NaN,Obras,Abierto Simplificado,672818.75,NaN,"ENEAS SERVICIOS INTEGRALES, S.A.",NaN,604686.51,7 Meses,2020-05-13
77,124/19,Proyecto de reforma y acondicionamiento de la Finca Benisaudet (vivienda veraniega de Gabriel Miró).,NaN,NaN,Obras,Abierto Simplificado,602580.06,NaN,"ENEAS SERVICIOS INTEGRALES, S.A.",NaN,520445.99,6 Meses,2020-09-18
78,81/19,"Servicio de Asistencia Técnica para la redacción de la documentación técnica necesaria para la aprobación del Plan Local de Residuos del municipio de Alicante y del Proyecto de Gestión del Plan zonal 9, Área de Gestión 4, de la Comunidad Valenciana y su posterior licitación.",NaN,NaN,Servicios,Abierto,157300.0,NaN,"GRUPOTEC SERVICIOS DE INGENIERIA, S.L.",NaN,125628.25,1 Años,2020-08-31
79,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,NaN,NaN,Servicios,Abierto,36000.0,NaN,"MAPFRE ESPAÑA, Compañía de Seguros y Reaseguros S.A.",NaN,34134.0,24 Meses,2020-05-29
80,63/19,Contratación pólizas de seguro 2020-2021 para el Excmo. Ayuntamiento de Alicante.,NaN,NaN,Servicios,Abierto,40000.0,NaN,W0069547H,NaN,40000.0,24 Meses,2020-05-29
81,131/19,Suministro de varios instrumentos musicales para la Banda Sinfónica Municipal de Alicante.,NaN,NaN,Suministros,Abierto Simplificado,41000.0,NaN,AITANAMUSICA SL,NaN,38475.0,3 Meses,2020-09-17
82,02/20,"Servicio de captura, esterilización y suelta de gatos de colonias callejeras en el municipio de Alicante",NaN,NaN,Servicios,Abierto Simplificado (Abreviado),17159.09,NaN,"MÁS QUE MASCOTAS ALICANTE, S.L.",NaN,14943.0,1 Años,2020-07-30
83,11/20,"Contratación conjunta de la Redacción del proyecto de ejeucción material y ejecución de las obras de conexión, urbanización e instalaciones auxiliares del nuevo cementerio de la ciudad de Alicante.",NaN,NaN,Obras,Negociado sin publicidad,1432428.54,NaN,"VIAS Y CONSTRUCCIONES, S.A.",NaN,1410941.59,9 Meses,2020-11-02
84,35/20,"Asistencia técnica a la Dirección de obra del proyecto de ""Mejora del sistema viario de la calle Padre Esplá, desde la calle Ingeniero Canales hasta Glorieta Periodista Clara Forner""",NaN,NaN,Servicios,Abierto,67991.7,NaN,UTE INGEMED SLP - SUBARQUITECTURA SLP,NaN,50993.66,7 Meses,2020-12-10
85,99/2020,Adquisición material preventivo para los trabajadores del Ayuntamiento de Alicante.,NaN,NaN,Suministros,Otros,433500.0,NaN,"SUMEVET ORTOPEDIA MODERNA, S.L.",NaN,433500.0,9 Meses,2020-12-30
86,27/20,"Tramitación expepcional de emergencia para contratar la adquisición de material preventivo para los trabajadores del Ayuntamiento de Alicante, a la hora de la incorporación presencial a los puestos de trabajo. Dividido en siete lotes.",NaN,NaN,Suministros,Otros,101033.54,NaN,-,NaN,101036.54,48 Horas,2020-06-09
87,99/2020,Adquisición material preventivo para los trabajadores del Ayuntamiento de Alicante.,NaN,NaN,Suministros,Otros,36665.28,NaN,-,NaN,36665.28,9 Meses,2020-12-30
88,26/20,"Servicio  de telecomunicaciones del Ayuntamiento de Alicante con motivo del COVID-19, mediante tramitación excepcional de emergencia.",NaN,NaN,Servicios,Otros,167532.97,NaN,"TELEFÓNICA DE ESPAÑA, S.A.U. _TELEFÓNICA MÓVILES DE ESPAÑA, S.A.U., UNIÓN TEMPORAL DE EMPRESAS, LEY 18/1982 DE",NaN,167532.97,1 Meses,2020-05-04
89,17/20,Servicio de recuperación de una zona afectada por el vertido de hidrocarburos en la playa del Postiguet en Alicante,NaN,NaN,Servicios,Otros,26508.3,NaN,"FCC Ámbito, S.A.U.",NaN,26508.3,15 Días,2020-06-25
90,31/20,"Servicio relativo a la gestión de alojamiento alternativo, red de viviendas semituteladas, dirigidas a personas y familias en situación de exclusión social",NaN,NaN,Servicios,Abierto,347298.98,NaN,Obra Social Santa Luisa de Marillac-Hijas de la Caridad de San Vicente Paul,NaN,315726.35,1 Años,2020-11-23
91,127/19,"Ejecución de las obras de Renovación e intervención paisajística en la Plaza Castellón (Alicante), cofinanciado por el Fondo Europeo de Desarrollo Regional (FEDER) mediante el programa operativo de Crecimiento Sostenible, para la programación 2014-2020, con el lema -Una manera de hacer Europa-",NaN,NaN,Obras,Abierto Simplificado,494437.98,NaN,"ALUDECA, S.L.U.",NaN,396737.04,3 Meses,2020-07-03
92,30/19,"Servicio de mantenimiento y conservacion de las zonas verdes de la ciudad de Alicante, dividido en 3 lotes. (El lote 3 se reserva a centros especiales de empleo, D.Adicional 4ª LCSP)",NaN,NaN,Servicios,Abierto,1118376.84,NaN,EULEN S.A.,NaN,817397.3,3 Años,2020-10-06
93,106/19,Servicio de mantenimiento y ampliaciones del cableado de redes de comunicación de datos,NaN,NaN,Servicios,Abierto,88318.54,NaN,"ELECNOR, S.A.",NaN,65260.13,36 Meses,2020-06-08
94,110/19,Contratación suministro con instalación de luminarias en barrios y polígonos industriales en la Ciudad de Alicante. 3 Lotes.,NaN,NaN,Suministros,Abierto,1043447.62,NaN,"ELECNOR, S.A.",NaN,874370.18,4 Meses,2020-08-25
95,87/19,"Contratación de las obras de apertura al público de cinco refugios antiaéreos localizados en la Zona EDUSI del casco urbano de Alicante, co-financiado por el FEDER, mediante elprograma operativo de crecimiento sostenible para la programación 2014-2020. Una manera de hacer Europa.",NaN,NaN,Obras,Abierto Simplificado,406269.0,NaN,"NOVUM PROYECTOS INTEGRALES Y SERVICIOS, S.L.",NaN,280245.9,6 Meses,2020-05-20
96,113/19,"Suministro, sustitución, instalación y puesta en servicio de los sistemas de climatización en edificios y dependencias municipales. Fase II",NaN,NaN,Suministros,Abierto,591810.41,NaN,"PROYECTOS E INSTALACIONES TÉRMICAS, S.L",NaN,503038.14,6 Meses,2020-07-17
97,23/19,"Concesión administrativa para la adjudicación de la explotación como heladería-cafetería sin plancha ni cocina, de un quiosco sito en la Explanada de España junto al Auditorio de la Concha de Alicante",NaN,NaN,Contrato administrativo especial,Abierto,179728.72,NaN,LOS ANILLOS DEL PUEBLO SL,NaN,249523.32,10 Años,2020-01-17
